"Région","Département","COMMUNE","POPULATION"
"KAFFRINE","KOUNGHEUL","MAKA YOP","19428"
"KAFFRINE","KOUNGHEUL","MISSIRAH WADENE","29827"
"KAFFRINE","MALEM HODDAR","COM. MALEM HODDAR","12188"
"KAFFRINE","MALEM HODDAR","DAROU MINAM II","21301"
"KAFFRINE","MALEM HODDAR","N’DIOUM  N’GAINTH","12613"
"KAFFRINE","MALEM HODDAR","KHELCOM","1834"
"KAFFRINE","MALEM HODDAR","NDIOBENE SAMBA LAMO","8581"
"KAFFRINE","MALEM HODDAR","DIANKE SOUF","25357"
"KAFFRINE","MALEM HODDAR","SAGNA","53375"
"KEDOUGOU","KEDOUGOU","COM. KEDOUGOU","59231"
"KEDOUGOU","KEDOUGOU","BANDAFASSI","15840"
"KEDOUGOU","KEDOUGOU","TOMBORONKOTO","18360"
"KEDOUGOU","KEDOUGOU","DINDIFELO","7590"
"KEDOUGOU","KEDOUGOU","NINEFECHA","8715"
"KEDOUGOU","KEDOUGOU","DIMBOLI","9023"
"KEDOUGOU","KEDOUGOU","FONGOLEMBI","5507"
"KEDOUGOU","SALEMATA","COM. SALEMATA","6712"
"KEDOUGOU","SALEMATA","DAKATELI","4767"
"KEDOUGOU","SALEMATA","KEVOYE","5559"
"KEDOUGOU","SALEMATA","DAR SALAM","4165"
"KEDOUGOU","SALEMATA","ETHIOLO","4310"
"KEDOUGOU","SALEMATA","OUBADJI","2513"
"KEDOUGOU","SARAYA","COM. SARAYA","4385"
"KEDOUGOU","SARAYA","MEDINA BAFFE","10743"
"KEDOUGOU","SARAYA","BEMBOU","26820"
"KEDOUGOU","SARAYA","KHOSSANTO","11176"
"KEDOUGOU","SARAYA","MISSIRAH SIRIMANA","21715"
"KEDOUGOU","SARAYA","SABODALA","18016"
"SEDHIOU","SEDHIOU","COM. SEDHIOU","31511"
"SEDHIOU","SEDHIOU","COM. MARSASSOUM","9815"
"SEDHIOU","SEDHIOU","DIENDE","16703"
"SEDHIOU","SEDHIOU","SAKAR","11535"
"SEDHIOU","SEDHIOU","DIANNAH BA","9245"
"SEDHIOU","SEDHIOU","KOUSSY","12759"
"SEDHIOU","SEDHIOU","OUDOUCAR","11972"
"SEDHIOU","SEDHIOU","SAMA KANTA PEULH","4357"
"SEDHIOU","SEDHIOU","COM. DIANAH MALARY","3272"
"SEDHIOU","SEDHIOU","BENET- BIJINI","13816"
"SEDHIOU","SEDHIOU","SANSAMBA","18095"
"SEDHIOU","SEDHIOU","DJIBABOUYA","6845"
"SEDHIOU","SEDHIOU","BAMBALI","20424"
"SEDHIOU","SEDHIOU","DJIREDJI","22946"
"SEDHIOU","BOUNKILING","COM. BOUNKILING","9969"
"SEDHIOU","BOUNKILING","BOGHAL","19561"
"SEDHIOU","BOUNKILING","TANKON","34349"
"SEDHIOU","BOUNKILING","DJINANY","4808"
"SEDHIOU","BOUNKILING","NDIAMALATHIEL","20305"
"SEDHIOU","BOUNKILING","COM. NDIAMACOUTA","11543"
"SEDHIOU","BOUNKILING","BONA","8880"
"SEDHIOU","BOUNKILING","DIACOUNDA","8458"
"SEDHIOU","BOUNKILING","INOR","12255"
"SEDHIOU","BOUNKILING","KANDION MANGANA","2381"
"SEDHIOU","BOUNKILING","DIAROUME","23718"
"SEDHIOU","BOUNKILING","DIAMBATY","14520"
"SEDHIOU","BOUNKILING","FAOUNE","18594"
"SEDHIOU","BOUNKILING","COM. MADINA WANDIFA","18531"
"SEDHIOU","GOUDOMP","COM. GOUDOMP","15993"
"SEDHIOU","GOUDOMP","DJIBANAR","12165"
"SEDHIOU","GOUDOMP","KAOUR","5701"
"SEDHIOU","GOUDOMP","MANGAROUNGOU SANTO","13689"
"SEDHIOU","GOUDOMP","SIMBADI BALANTE","23237"
"SEDHIOU","GOUDOMP","YARANG BALANTE","15880"
"SEDHIOU","GOUDOMP","COM. DIATTACOUNDA","4949"
"SEDHIOU","GOUDOMP","COM. SAMINE","6532"
"SEDHIOU","GOUDOMP","KARANTABA","18915"
"SEDHIOU","GOUDOMP","KOLIBANTANG","12870"
"SEDHIOU","GOUDOMP","NIAGHA","14730"
"SEDHIOU","GOUDOMP","SIMBANDI BRASSOU","16302"
"SEDHIOU","GOUDOMP","BAGHERE","13492"
"SEDHIOU","GOUDOMP","DIOUBOUDOU","6959"
"SEDHIOU","GOUDOMP","COM. TANAFF","6683"
